fen,score_cp
"rnb1kb1r/ppp2p1p/5p1n/4p3/2pPP3/2N5/PPP2PPP/R1B1K1NR b KQkq - 0 7",218
"rnb1kb1r/pp3p1p/2p2p1n/4p3/2pPP3/2N5/PPP2PPP/R1B1K1NR w KQkq - 0 8",-533
"rnb1kb1r/pp3p1p/2p2p1n/4p3/2pPP3/2N5/PPP2PPP/R1BK2NR b kq - 1 8",559
"rnb1kbr1/pp3p1p/2p2p1n/4p3/2pPP3/2N5/PPP2PPP/R1BK2NR w q - 2 9",-703
"rnb1kbr1/pp3p1p/2p2p1n/3Np3/2pPP3/8/PPP2PPP/R1BK2NR b q - 3 9",748
"rnb1kbr1/pp3p1p/5p1n/3pp3/2pPP3/8/PPP2PPP/R1BK2NR w q - 0 10",-748
"rnb1kbr1/pp3p1p/5p1B/3pp3/2pPP3/8/PPP2PPP/R2K2NR b q - 0 10",748
"rnb1k1r1/pp3p1p/5p1b/3pp3/2pPP3/8/PPP2PPP/R2K2NR w q - 0 11",-788
"rnb1k1r1/pp3p1p/5p1b/3Pp3/2pP4/8/PPP2PPP/R2K2NR b q - 0 11",741
"rnb1k3/pp3p1p/5p1b/3Pp3/2pP4/8/PPP2PrP/R2K2NR w q - 0 12",-753
"rnb1k3/pp3p1p/3P1p1b/4p3/2pP4/8/PPP2PrP/R2K2NR b q - 0 12",868
"rnb1kb2/pp3p1p/3P1p2/4p3/2pP4/8/PPP2PrP/R2K2NR w q - 1 13",-662
"rnb1kb2/pp3p1p/3P1p2/4p3/2pP4/8/PPP1KPrP/R5NR b q - 2 13",751
"rnb1kb2/pp3p1p/3P1pr1/4p3/2pP4/8/PPP1KP1P/R5NR w q - 3 14",-612
"rnb1kb2/pp3p1p/3P1pr1/4p3/2pP3P/8/PPP1KP2/R5NR b q - 0 14",757
"rnb1kb2/pp3p2/3P1pr1/4p2p/2pP3P/8/PPP1KP2/R5NR w q - 0 15",-771
"rnb1kb2/pp3p2/3P1pr1/3Pp2p/2p4P/8/PPP1KP2/R5NR b q - 0 15",780
"rnb2b2/pp1k1p2/3P1pr1/3Pp2p/2p4P/8/PPP1KP2/R5NR w - - 1 16",-836
"rnb2b2/pp1k1p2/3P1pr1/3Pp2p/2p4P/8/PPP1KP2/3R2NR b - - 2 16",767
"rnb5/pp1k1p2/3b1pr1/3Pp2p/2p4P/8/PPP1KP2/3R2NR w - - 0 17",-779
"rnb5/pp1k1p2/3b1pr1/3Pp2p/2p4P/1P6/P1P1KP2/3R2NR b - - 0 17",806
"rnb5/pp1k1p2/3b1pr1/3Pp2p/7P/1p6/P1P1KP2/3R2NR w - - 0 18",-798
"rnb5/pp1k1p2/3b1pr1/3Pp2p/7P/1P6/2P1KP2/3R2NR b - - 0 18",799
"rnb5/ppk2p2/3b1pr1/3Pp2p/7P/1P6/2P1KP2/3R2NR w - - 1 19",-831
"rnb5/ppk2p2/3b1pr1/3Pp2p/7P/1P3N2/2P1KP2/3R3R b - - 2 19",819
"rnb5/ppk2p2/3b1pr1/3P3p/4p2P/1P3N2/2P1KP2/3R3R w - - 0 20",-796
"rnb5/ppk2p2/3b1pr1/3P3p/4p2P/1P6/2PNKP2/3R3R b - - 1 20",796
"rn6/ppk2p2/3b1pr1/3P3p/4p1bP/1P6/2PNKP2/3R3R w - - 2 21",-850
"rn6/ppk2p2/3b1pr1/3P3p/4p1bP/1P3P2/2PNK3/3R3R b - - 0 21",807
"rn6/ppk2p2/3b1pr1/3P3p/4p2P/1P3b2/2PNK3/3R3R w - - 0 22",-859
"rn6/ppk2p2/3b1pr1/3P3p/4p2P/1P3N2/2P1K3/3R3R b - - 0 22",812
"rn6/ppk2p2/3b1p2/3P3p/4p2P/1P3N2/2P1K1r1/3R3R w - - 1 23",-800
"rn6/ppk2p2/3b1p2/3P3p/4p2P/1P2KN2/2P3r1/3R3R b - - 2 23",676
"rn6/ppk2p2/3b1p2/3P3p/7P/1P2Kp2/2P3r1/3R3R w - - 0 24",-767
"rn6/ppk2p2/3b1p2/3P3p/7P/1P2Kp2/2P3r1/2R4R b - - 1 24",712
"rn6/ppk2p2/3b1p2/3P3p/7P/1P2Kpr1/2P5/2R4R w - - 2 25",-749
"rn6/ppk2p2/3b1p2/3P3p/7P/1P2Kpr1/2P5/2R2R2 b - - 3 25",954
"r7/ppkn1p2/3b1p2/3P3p/7P/1P2Kpr1/2P5/2R2R2 w - - 4 26",-856
"r7/ppkn1p2/3b1p2/3P3p/7P/1P2KRr1/2P5/2R5 b - - 0 26",1221
"r7/ppkn1p2/5p2/2bP3p/7P/1P2KRr1/2P5/2R5 w - - 1 27",-813
